Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,9,56
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",TOTAL,NOT SPECIFIED,1,40.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1,33.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,4,37.8
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,40
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, SWEET - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, SWEET - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (Z),20.8
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, SWEET - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, SWEET - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,3,54.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, SWEET - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,4,57.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, SWEET - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,1,67.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, TART - ACRES BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, TART - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, TART - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,2,67.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,CHERRIES,"CHERRIES, TART - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,63.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,FRUIT & TREE NUT TOTALS,FRUIT & TREE NUT TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,19,22.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,FRUIT & TREE NUT TOTALS,"FRUIT & TREE NUT TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"127,000",16.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,FRUIT & TREE NUT TOTALS,"FRUIT & TREE NUT TOTALS, (EXCL BERRIES) - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,12,30.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,FRUIT & TREE NUT TOTALS,"FRUIT & TREE NUT TOTALS, (EXCL BERRIES) - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"45,000",17.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,GRAPES,GRAPES - ACRES BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,GRAPES,GRAPES - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,7,23.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,GRAPES,GRAPES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,GRAPES,GRAPES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,8,33.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,GRAPES,GRAPES - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,8,34.8
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,GRAPES,GRAPES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2,52.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES BEARING",TOTAL,NOT SPECIFIED,23,21.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,16,28.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,17,27.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,5,36.8
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,68,22.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (0.1 TO 4.9 ACRES),16,36.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (5.0 TO 24.9 ACRES),3,40.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,19,27.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,ORCHARDS,"ORCHARDS, IRRIGATED - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,ORCHARDS,"ORCHARDS, IRRIGATED - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,60.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEACHES,PEACHES - ACRES BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEACHES,PEACHES - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,3,28.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEACHES,PEACHES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEACHES,PEACHES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,4,35.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEACHES,PEACHES - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,6,37.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEACHES,PEACHES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2,55.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEARS,PEARS - ACRES BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEARS,PEARS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEARS,PEARS - ACRES NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEARS,PEARS - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,1,51.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEARS,PEARS - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,2,50.8
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PEARS,PEARS - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1,59.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PLUMS & PRUNES,PLUMS & PRUNES - ACRES BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PLUMS & PRUNES,PLUMS & PRUNES - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PLUMS & PRUNES,PLUMS & PRUNES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PLUMS & PRUNES,PLUMS & PRUNES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,1,50.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PLUMS & PRUNES,PLUMS & PRUNES - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,2,53.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,PLUMS & PRUNES,PLUMS & PRUNES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,1,71.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,RASPBERRIES,RASPBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,9,27.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,RASPBERRIES,RASPBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,RASPBERRIES,RASPBERRIES - ACRES NOT HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,RASPBERRIES,RASPBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,4,40.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,RASPBERRIES,RASPBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,4,45.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,RASPBERRIES,RASPBERRIES - OPERATIONS WITH AREA NOT HARVESTED,TOTAL,NOT SPECIFIED,2,52.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,16,30
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,STRAWBERRIES,STRAWBERRIES - ACRES NOT HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,3,26
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,3,27.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NOT HARVESTED,TOTAL,NOT SPECIFIED,2,46.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,TREE NUT TOTALS,TREE NUT TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,TREE NUT TOTALS,TREE NUT TOTALS - ACRES NON-BEARING,TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,TREE NUT TOTALS,TREE NUT TOTALS - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,2,69.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,TREE NUT TOTALS,TREE NUT TOTALS - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,2,78.4
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,WALNUTS,"WALNUTS, ENGLISH - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,WALNUTS,"WALNUTS, ENGLISH - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,WALNUTS,"WALNUTS, ENGLISH - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,(H)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,DELAWARE,41,,,,WALNUTS,"WALNUTS, ENGLISH - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,(H)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,APPLES,APPLES - ACRES BEARING,TOTAL,NOT SPECIFIED,138,24.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,APPLES,APPLES - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,164,25.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,APPLES,APPLES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,27,49
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,19,34.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,25,32.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,APPLES,APPLES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,11,42.4
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BERRY TOTALS,BERRY TOTALS - ACRES GROWN,TOTAL,NOT SPECIFIED,20,31.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,16,23
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13,24.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BERRY TOTALS,"BERRY TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"69,000",20.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - ACRES GROWN",TOTAL,NOT SPECIFIED,7,36.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BERRY TOTALS,"BERRY TOTALS, IRRIGATED - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,4,36.3
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",TOTAL,NOT SPECIFIED,6,76.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5,52.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NOT HARVESTED",TOTAL,NOT SPECIFIED,1,(H)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,9,45.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,6,56
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NOT HARVESTED",TOTAL,NOT SPECIFIED,3,43.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",TOTAL,NOT SPECIFIED,2,40.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2,33.5
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",TOTAL,NOT SPECIFIED,4,37.8
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,40
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, SWEET - ACRES BEARING",TOTAL,NOT SPECIFIED,1,11.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, SWEET - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, SWEET - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, SWEET - OPERATIONS WITH AREA BEARING",TOTAL,NOT SPECIFIED,4,54.1
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, SWEET - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,6,57.7
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, SWEET - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,3,67.9
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, TART - ACRES BEARING & NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, TART - ACRES NON-BEARING",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, TART - OPERATIONS WITH AREA BEARING & NON-BEARING",TOTAL,NOT SPECIFIED,2,63.6
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,CHERRIES,"CHERRIES, TART - OPERATIONS WITH AREA NON-BEARING",TOTAL,NOT SPECIFIED,2,74.2
CENSUS,2012,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAIRFIELD,45,,,,FRUIT & TREE NUT TOTALS,FRUIT & TREE NUT TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,23,22.2
