AOU,four-letter code,common_name,Band_Size
1150,BRBO,BROWN BOOBY,7B
1160,RFBO,RED-FOOTED BOOBY,7B 7A
1170,NOGA,NORTHERN GANNET,8
1180,ANHI,ANHINGA,8
1190,GRCO,GREAT CORMORANT,8
1200,DCCO,DOUBLE-CRESTED CORMORANT,"8 7B, (o)"
1201,GUCO,GUANAY CORMORANT,8
1210,NECO,NEOTROPIC CORMORANT,7A
1220,BRAC,BRANDTS CORMORANT,8
1230,PECO,PELAGIC CORMORANT,7B 7A
1240,RFCO,RED-FACED CORMORANT,8
1250,AWPE,AMERICAN WHITE PELICAN,9 9C
1260,BRPE,BROWN PELICAN,8A 9 8
1280,MAFR,MAGNIFICENT FRIGATEBIRD,"7B 7A, (b)"
1281,GRFR,GREAT FRIGATEBIRD,"7B 7A, (b)"
1282,LEFR,LESSER FRIGATEBIRD,"7A, (b)"
1290,COME,COMMON MERGANSER,7A
1300,RBME,RED-BREASTED MERGANSER,6 5
1310,HOME,HOODED MERGANSER,5 5A 6
1320,MALL,MALLARD,7A
1321,HAWD,HAWAIIAN DUCK,6 7A
1322,LADU,LAYSAN DUCK,5
1325,MBDX,MALLARD X AMERICAN BLACK DUCK INTERMEDIATE,7A
1326,MBDH,MALLARD X AMERICAN BLACK DUCK HYBRID,7A
1327,MALX,MALLARD DOMINANT X AMERICAN BLACK DUCK HYBRID,7A
1330,ABDU,AMERICAN BLACK DUCK,7A
1331,MEDU,MEXICAN DUCK,7A
1337,ABDX,AMERICAN BLACK DUCK DOMINANT X MALLARD HYBRID,7A
1340,MODU,MOTTLED DUCK,7A
1350,GADW,GADWALL,6
1360,EUWI,EURASIAN WIGEON,6
1370,AMWI,AMERICAN WIGEON,6
1371,FATE,FALCATED TEAL,4A
1380,EGWT,EUROPEAN GREEN-WINGED TEAL,4 4A
1390,AGWT,AMERICAN GREEN-WINGED TEAL,4 4A
1391,BATE,BAIKAL TEAL,4A
1392,GARG,GARGANEY,4A
1400,BWTE,BLUE-WINGED TEAL,5 4A
1401,UNTE,UNIDENTIFIED TEAL,5 4A
1410,CITE,CINNAMON TEAL,5 4A
1420,NSHO,NORTHERN SHOVELER,5 6
1430,NOPI,NORTHERN PINTAIL,6
1431,WHIP,WHITE-CHEEKED PINTAIL,5
1436,OHDU,OTHER HYBRID DUCK,"7A 5 6, (c,v)"
1440,WODU,WOOD DUCK,5A 6
1441,MUDU,MUSCOVY DUCK,7B 7A
1460,REDH,REDHEAD,6
1461,CPOC,COMMON POCHARD,6 7A
1470,CANV,CANVASBACK,7A
1480,GRSC,GREATER SCAUP,6 5
1490,LESC,LESSER SCAUP,6 5
1491,TUDU,TUFTED DUCK,5
1500,RNDU,RING-NECKED DUCK,6
1510,COGO,COMMON GOLDENEYE,6 7A
1520,BAGO,BARROWS GOLDENEYE,7A
1530,BUFF,BUFFLEHEAD,5
1540,LTDU,LONG-TAILED DUCK,"5 6, (p)"
1550,HARD,HARLEQUIN DUCK,5
1570,STEI,STELLERS EIDER,6 7A
1580,SPEI,SPECTACLED EIDER,7A 6
1590,COEI,COMMON EIDER,7B 7A
1620,KIEI,KING EIDER,7A 6
1630,BLSC,BLACK SCOTER,7A
1650,WWSC,WHITE-WINGED SCOTER,7A
1660,SUSC,SURF SCOTER,7A
1670,RUDU,RUDDY DUCK,"M 7A, F 6"
1680,MADU,MASKED DUCK,5
1690,LSGO,LESSER SNOW GOOSE,7B
1691,BLGO,BLUE GOOSE,7B
1695,SBGI,SNOW X BLUE GOOSE INTERGRADE,7B
1698,BGSG,BLUE GREATER SNOW GOOSE,7B
1699,GSGO,GREATER SNOW GOOSE,7B
1700,ROGO,ROSSS GOOSE,7B
1703,SRGH,SNOW X ROSSS GOOSE HYBRID,7B
1710,GWFG,GREATER WHITE-FRONTED GOOSE,7B 8
1711,TABG,TAIGA BEAN GOOSE,7B 8
1712,PFGO,PINK-FOOTED GOOSE,7B
1713,LWFG,LESSER WHITE-FRONTED GOOSE,7A
1716,OHGO,OTHER HYBRID GOOSE,"8 7A 7B, (v)"
1719,TWFG,TULE WHITE-FRONTED GOOSE,8
1720,CAGO,CANADA GOOSE,8
1721,ACGO,ALEUTIAN CANADA GOOSE,7B
1722,CACG,CACKLING GOOSE,7A
1723,LCGO,LARGE CANADA GOOSE,8
1729,SCGO,SMALL CANADA GOOSE,7B
1730,ATBR,ATLANTIC BRANT,7B
1731,BABI,BLACK X ATLANTIC BRANT INTERGRADE,7A 7B
1740,BLBR,BLACK BRANT,7A
1750,BRNG,BARNACLE GOOSE,7B
1751,HAGO,HAWAIIAN GOOSE,7B 8
1760,EMGO,EMPEROR GOOSE,7B
1770,BBWD,BLACK-BELLIED WHISTLING-DUCK,7 7B
1771,WIWD,WEST INDIAN WHISTLING-DUCK,7B 8
1780,FUWD,FULVOUS WHISTLING-DUCK,7A 7
1782,MUSW,MUTE SWAN,9C
1790,WHOS,WHOOPER SWAN,9
1800,WHSW,WHISTLING SWAN,9
1801,BESW,BEWICKS SWAN,9
1810,TRUS,TRUMPETER SWAN,9 9C
1820,AMFL,AMERICAN FLAMINGO,8
1830,ROSP,ROSEATE SPOONBILL,7B
1840,WHIB,WHITE IBIS,6 7A
1850,SCIB,SCARLET IBIS,6
1860,GLIB,GLOSSY IBIS,6
1870,WFIB,WHITE-FACED IBIS,6
1880,WOST,WOOD STORK,8
1900,AMBI,AMERICAN BITTERN,"F 6, M 7A"
1910,LEBI,LEAST BITTERN,4
1911,YEBI,YELLOW BITTERN,4
1920,GWHE,GREAT WHITE HERON,8
1940,GBHE,GREAT BLUE HERON,7B
1960,GREG,GREAT EGRET,7A 7B
1969,REHE,REEF HERON,7A
1970,SNEG,SNOWY EGRET,6
1980,REEG,REDDISH EGRET,7A
1990,TRHE,TRICOLORED HERON,6
2000,LBHE,LITTLE BLUE HERON,6
2001,CAEG,CATTLE EGRET,6
2010,GRHE,GREEN HERON,5
2020,BCNH,BLACK-CROWNED NIGHT-HERON,7A
2030,YCNH,YELLOW-CROWNED NIGHT-HERON,7A
2040,WHCR,WHOOPING CRANE,9
2060,SACR,SANDHILL CRANE,8 9
2061,MSCR,MISSISSIPPI SANDHILL CRANE,8
2070,LIMP,LIMPKIN,6
2080,KIRA,KING RAIL,5
2110,CLRA,CLAPPER RAIL,5
2120,VIRA,VIRGINIA RAIL,"2 3, (d)"
2131,YBCR,YELLOW-BREASTED CRAKE,3 2
2140,SORA,SORA,"2, (d)"
2150,YERA,YELLOW RAIL,1A 2 1D
2160,BLRA,BLACK RAIL,2 1A 1D
2161,BBRA,BUFF-BANDED RAIL,4
2180,PUGA,PURPLE GALLINULE,4 5
2181,PUSW,PURPLE SWAMPHEN,4
2190,COGA,COMMON GALLINULE,5 6
2191,HAGA,HAWAIIAN GALLINULE,5 6
2192,COMO,COMMON MOORHEN,5 6
2201,HACO,HAWAIIAN COOT,6 5
2210,AMCO,AMERICAN COOT,6 5
2211,CARC,CARIBBEAN COOT,6
2220,REPH,RED PHALAROPE,1A
2230,RNPH,RED-NECKED PHALAROPE,1B
2240,WIPH,WILSONS PHALAROPE,1A 2 1D
2250,AMAV,AMERICAN AVOCET,"4 4A, (d)"
2260,BNST,BLACK-NECKED STILT,"4 3A 4, (d)"
2261,HAST,HAWAIIAN STILT,"4, (d)"
2270,EUWO,EUROPEAN WOODCOCK,3
2280,AMWO,AMERICAN WOODCOCK,3
2300,WISN,WILSONS SNIPE,3
2301,PTSN,PIN-TAILED SNIPE,3
2302,SWSN,SWINHOES SNIPE,3
2310,SBDO,SHORT-BILLED DOWITCHER,2
2320,LBDO,LONG-BILLED DOWITCHER,2
2330,STSA,STILT SANDPIPER,1A
2340,REKN,RED KNOT,2
2350,PUSA,PURPLE SANDPIPER,1A
2360,ROSA,ROCK SANDPIPER,2
2380,SHAS,SHARP-TAILED SANDPIPER,1A
2390,PESA,PECTORAL SANDPIPER,1A 1D
2400,WRSA,WHITE-RUMPED SANDPIPER,1A 1B
2410,BASA,BAIRDS SANDPIPER,1B 1A
2420,LESA,LEAST SANDPIPER,1 1B
2422,RNST,RED-NECKED STINT,1 1B
2423,LTST,LONG-TOED STINT,1 1B
2430,DUNL,DUNLIN,1A 1B
2440,CUSA,CURLEW SANDPIPER,1A
2450,SPOS,SPOONBILL SANDPIPER,1A
2460,SESA,SEMIPALMATED SANDPIPER,1B
2470,WESA,WESTERN SANDPIPER,1B
2480,SAND,SANDERLING,1A
2490,MAGO,MARBLED GODWIT,4
2500,BARG,BAR-TAILED GODWIT,"M 4, F 4A"
2510,HUGO,HUDSONIAN GODWIT,3A
2520,BLAG,BLACK-TAILED GODWIT,4
2540,GRYE,GREATER YELLOWLEGS,3 3B
2550,LEYE,LESSER YELLOWLEGS,2
2560,SOSA,SOLITARY SANDPIPER,1A
2561,WOSA,WOOD SANDPIPER,1A
2562,MASA,MARSH SANDPIPER,1A
2580,WILL,WILLET,4
2590,WATA,WANDERING TATTLER,3 2
2591,GTTA,GRAY-TAILED TATTLER,2 3
2600,RUFF,RUFF,3B 3
2610,UPSA,UPLAND SANDPIPER,3
2620,BBSA,BUFF-BREASTED SANDPIPER,1A
2630,SPSA,SPOTTED SANDPIPER,1B 1A
2631,COSA,COMMON SANDPIPER,1B 1
2640,LBCU,LONG-BILLED CURLEW,5 6 (6 on tibiotarsus)
2650,WHIM,WHIMBREL,4
2680,BTCU,BRISTLE-THIGHED CURLEW,4A
2690,NOLA,NORTHERN LAPWING,5
2691,EUDO,EURASIAN DOTTEREL,1B 1A
2700,BBPL,BLACK-BELLIED PLOVER,3B
2710,EUGP,EURASIAN GOLDEN-PLOVER,2 3
2720,AMGP,AMERICAN GOLDEN-PLOVER,2 3
2721,PAGP,PACIFIC GOLDEN-PLOVER,2 3
2729,LEGP,LESSER GOLDEN-PLOVER,2 3
2730,KILL,KILLDEER,2
2740,SEPL,SEMIPALMATED PLOVER,1A 1B
2750,CRPL,COMMON RINGED PLOVER,1A 1B
2770,PIPL,PIPING PLOVER,1A 1B
2780,SNPL,SNOWY PLOVER,1P
2790,LRSP,LESSER SAND PLOVER,3
2800,WIPL,WILSONS PLOVER,2 1A 1D
2810,MOPL,MOUNTAIN PLOVER,2 3
2820,SURF,SURFBIRD,2
2830,RUTU,RUDDY TURNSTONE,2 3
2840,BLTU,BLACK TURNSTONE,2
2860,AMOY,AMERICAN OYSTERCATCHER,5
2870,BLOY,BLACK OYSTERCATCHER,5
2880,NOJA,NORTHERN JACANA,3A
3120,BTPI,BAND-TAILED PIGEON,5
3121,PLPI,PLAIN PIGEON,6 5
3130,RBPI,RED-BILLED PIGEON,5
3140,WCPI,WHITE-CROWNED PIGEON,"4A, (e)"
3141,SNPI,SCALY-NAPED PIGEON,5
3151,SPDO,SPOTTED DOVE,"4 3A, (e)"
3152,AFCD,AFRICAN COLLARED-DOVE,3A
3153,ZEBD,ZEBRA DOVE,3
3154,WTGD,WHITE-THROATED GROUND-DOVE,4 3A
3155,MAFD,MARIANAS FRUIT-DOVE,3
3158,PHTD,PHILIPPINE TURTLE-DOVE,3
3159,ECDO,EURASIAN COLLARED-DOVE,"4A, (e)"
3160,MODO,MOURNING DOVE,3A 3B
3170,ZEND,ZENAIDA DOVE,4
3180,WTDO,WHITE-TIPPED DOVE,3A
3181,CADO,CARIBBEAN DOVE,3A
3190,WWDO,WHITE-WINGED DOVE,4 3A
3200,COGD,COMMON GROUND-DOVE,2
3201,RUGD,RUDDY GROUND-DOVE,2
3210,INDO,INCA DOVE,2 3
3220,KWQD,KEY WEST QUAIL-DOVE,3A 4
3221,RUQD,RUDDY QUAIL-DOVE,4
3222,BRQD,BRIDLED QUAIL-DOVE,3A 4
3240,CALC,CALIFORNIA CONDOR,"8V, (f)"
3250,TUVU,TURKEY VULTURE,"8V, (f)"
3260,BLVU,BLACK VULTURE,"8V, (f)"
3270,STKI,SWALLOW-TAILED KITE,6
3271,HBKI,HOOK-BILLED KITE,"6 7A, (g)"
3280,WTKI,WHITE-TAILED KITE,"6 5, (g)"
3290,MIKI,MISSISSIPPI KITE,"5, (g)"
3300,SNKI,SNAIL KITE,"6, (g)"
3310,NOHA,NORTHERN HARRIER,"M 4, F 5, (g)"
3320,SSHA,SHARP-SHINNED HAWK,"M 2 3 F 3A 3B, (g)"
3321,PSSH,PUERTO RICAN SHARP-SHINNED HAWK,"2, (g)"
3330,COHA,COOPERS HAWK,"M 4 F 5 6, (g)"
3340,NOGO,NORTHERN GOSHAWK,"M 6 F 7A 7B, (g)"
3350,HRSH,HARRISS HAWK,"7A 7B, (g)"
3370,RTHA,RED-TAILED HAWK,"7B 7D 7A, (g)"
3380,HRLH,HARLANS HAWK,"7B 7A, (g)"
3390,RSHA,RED-SHOULDERED HAWK,"6 7A, (g)"
3400,ZTHA,ZONE-TAILED HAWK,"7A, (g)"
3410,WTHA,WHITE-TAILED HAWK,"7A 7B, (g)"
3420,SWHA,SWAINSONS HAWK,"M 7A 6, F 7A(g)"
3430,BWHA,BROAD-WINGED HAWK,"5 6,(g)"
3431,ROHA,ROADSIDE HAWK,"5, (g)"
3432,PBWH,PUERTO RICAN BROAD-WINGED HAWK,"5, (g)"
3440,STHA,SHORT-TAILED HAWK,"6, (g)"
3441,HWHA,HAWAIIAN HAWK,"7A, (g)"
3450,COBH,COMMON BLACK-HAWK,"7A 6, (g)"
3460,GRHA,GRAY HAWK,"6 7A, (g)"
3470,RLHA,ROUGH-LEGGED HAWK,"7A 7B, (g)"
3480,FEHA,FERRUGINOUS HAWK,"7D 8 7B, (g)"
3490,GOEA,GOLDEN EAGLE,"9 9A 9C, (i)"
3520,BAEA,BALD EAGLE,"8A 9, (i)"
3540,GYRF,GYRFALCON,7B
3550,PRFA,PRAIRIE FALCON,"M 6 5, F 7A 6, (g)"
3560,PEFA,PEREGRINE FALCON,"M 6, F 7A 7B, (g)"
3570,MERL,MERLIN,"M 3, 3B F 4, 3A, (g)"
3590,APFA,APLOMADO FALCON,"5F, 4M (g)"
3591,EUKE,EURASIAN KESTREL,"3B 4, (g)"
3600,AMKE,AMERICAN KESTREL,"3B 3A, (g)"
3620,CRCA,CRESTED CARACARA,"M 7A, F 7B, (g)"
3640,OSPR,OSPREY,"8, (g)"
3650,BNOW,BARN-OWL,"6 7A, (g)"
3651,AFOW,ASHY-FACED OWL,"6 7A, (g)"
3660,LEOW,LONG-EARED OWL,"5 6, (g)"
3670,SEOW,SHORT-EARED OWL,"6, (g)"
3680,BDOW,BARRED OWL,"7B, (g)"
3686,SBOH,SPOTTED X BARRED OWL HYBRID,"7B, (g)"
3690,SPOW,SPOTTED OWL,"7B, (g)"
3691,CSOW,CALIFORNIA SPOTTED OWL,"7B, (g)"
3692,NSOW,NORTHERN SPOTTED OWL,"7B, (g)"
3693,MSOW,MEXICAN SPOTTED OWL,"7B, (g)"
3700,GGOW,GREAT GRAY OWL,"8, (g)"
3710,BOOW,BOREAL OWL,"5 6, (g)"
3720,NSWO,NORTHERN SAW-WHET OWL,"4 3A, (m)"
3730,EASO,EASTERN SCREECH-OWL,"5, (g,s)"
3731,WHSO,WHISKERED SCREECH-OWL,"3A 4, (g)"
3732,WESO,WESTERN SCREECH-OWL,"4 5, (g)"
3734,PRSO,PUERTO RICAN SCREECH-OWL,"4 5, (g)"
3740,FLOW,FLAMMULATED OWL,"3 3B 2, ()"
3750,GHOW,GREAT HORNED OWL,"8 9, (g)"
3760,SNOW,SNOWY OWL,"8 9, (g)"
3770,NHOW,NORTHERN HAWK OWL,"7A 7B, (b)"
3780,BUOW,BURROWING OWL,"4, (g)"
3790,NOPO,NORTHERN PYGMY-OWL,"3 3A 4, (g)"
3800,FEPO,FERRUGINOUS PYGMY-OWL,"3, ()"
3810,ELOW,ELF OWL,"2, ()"
3811,BHPA,BLACK-HEADED PARAKEET,"4 3A, (j)"
3812,HPKT,HISPANIOLAN PARAKEET,"3A 3B, (j)"
3813,OFPA,ORANGE-FRONTED PARAKEET,"3 2, (j)"
3814,BTPA,BROWN-THROATED PARAKEET,"3 2, (j)"
3815,BCLO,BLUE-CROWNED LORIKEET,"2, (j)"
3821,TBPA,THICK-BILLED PARROT,"4A 4, (j)"
3824,MOPA,MONK PARAKEET,"4, (j)"
3825,CHCO,CHERRY-HEAD CONURE,"4A, (j)"
3826,RCPA,RED-CROWNED PARROT,"4A 4, (j)"
3827,HPRT,HISPANIOLAN PARROT,"4A 4, (j)"
3828,PRPA,PUERTO RICAN PARROT,"4A 4, (j)"
3829,OWPA,ORANGE-WINGED PARROT,"4A 4, (j)"
3830,SBAN,SMOOTH-BILLED ANI,3A
3840,GBAN,GROOVE-BILLED ANI,3B
3850,GRRO,GREATER ROADRUNNER,5
3851,PRLC,PUERTO RICAN LIZARD CUCKOO,4 3A
3860,MACU,MANGROVE CUCKOO,2
3870,YBCU,YELLOW-BILLED CUCKOO,2
3880,BBCU,BLACK-BILLED CUCKOO,2
3890,ELTR,ELEGANT TROGON,1A 2 1D
3891,EAQU,EARED QUETZAL,2
3900,BEKI,BELTED KINGFISHER,3B 3A
3901,RIKI,RINGED KINGFISHER,4
3910,GKIN,GREEN KINGFISHER,"2 1A 1D, (k)"
3912,PRTO,PUERTO RICAN TODY,X 0A 0
3920,IBWO,IVORY-BILLED WOODPECKER,4
3930,HAWO,HAIRY WOODPECKER,1A 2 1D
3940,DOWO,DOWNY WOODPECKER,1B
3950,RCWO,RED-COCKADED WOODPECKER,1A
3960,LBWO,LADDER-BACKED WOODPECKER,1A 1B
3970,NUWO,NUTTALLS WOODPECKER,1A 1B
3980,STWO,STRICKLANDS WOODPECKER,1A
3990,WHWO,WHITE-HEADED WOODPECKER,1A 2 1D
4000,BBWO,BLACK-BACKED WOODPECKER,2
4010,ATTW,AMERICAN THREE-TOED WOODPECKER,2
4020,YBSA,YELLOW-BELLIED SAPSUCKER,1B 1A
4021,RNSA,RED-NAPED SAPSUCKER,1A 1B
4023,HYSA,HYBRID SAPSUCKER,"1A 1B 2 1D, (v)"
4030,RBSA,RED-BREASTED SAPSUCKER,1A 1B
4040,WISA,WILLIAMSONS SAPSUCKER,1A
4050,PIWO,PILEATED WOODPECKER,4 3A
4060,RHWO,RED-HEADED WOODPECKER,2
4070,ACWO,ACORN WOODPECKER,2 3
4071,PRWO,PUERTO RICAN WOODPECKER,2 3
4080,LEWO,LEWISS WOODPECKER,3 2
4090,RBWO,RED-BELLIED WOODPECKER,2
4092,WIWO,WEST INDIAN WOODPECKER,2
4100,GFWO,GOLDEN-FRONTED WOODPECKER,2
4110,GIWO,GILA WOODPECKER,2 3
4120,YSFL,YELLOW-SHAFTED FLICKER,3
4123,FLIN,FLICKER INTERGRADE,3
4130,RSFL,RED-SHAFTED FLICKER,3
4140,GIFL,GILDED FLICKER,3 2
4160,CWWI,CHUCK-WILLS-WIDOW,3
4161,BCNI,BUFF-COLLARED NIGHTJAR,2
4170,EWPW,EASTERN WHIP-POOR-WILL,1A 2 1D
4171,PRNI,PUERTO RICAN NIGHTJAR,2 1A 1D
4172,MWPW,MEXICAN WHIP-POOR-WILL,1A 2 1D
4180,COPO,COMMON POOR-WILL,1A 2 1D
4190,COPA,COMMON PAURAQUE,2
4200,CONI,COMMON NIGHTHAWK,2 1A 1D
4201,ANNI,ANTILLEAN NIGHTHAWK,2 1A 1D
4210,LENI,LESSER NIGHTHAWK,1A 2 1D
4220,BLSW,BLACK SWIFT,1A
4230,CHSW,CHIMNEY SWIFT,1B
4231,STSW,SHORT-TAILED SWIFT,1B 1
4240,VASW,VAUXS SWIFT,1
4250,WTSW,WHITE-THROATED SWIFT,2
4260,MAHU,MAGNIFICENT HUMMINGBIRD,"X 0A, (t)"
4261,PCST,PLAIN-CAPPED STARTHROAT,"X, (t)"
4270,BLUH,BLUE-THROATED HUMMINGBIRD,"X 0A, (t)"
4271,GVIO,GREEN VIOLETEAR,"X, (t)"
4280,RTHU,RUBY-THROATED HUMMINGBIRD,"X, (t)"
4290,BCHU,BLACK-CHINNED HUMMINGBIRD,"X, (t,u)"
4300,COHU,COSTAS HUMMINGBIRD,"X, (t)"
4310,ANHU,ANNAS HUMMINGBIRD,"X, (t)"
4320,BTLH,BROAD-TAILED HUMMINGBIRD,"X, (t)"
4330,RUHU,RUFOUS HUMMINGBIRD,"X, (t)"
4340,ALHU,ALLENS HUMMINGBIRD,"X, (t)"
4350,BUHU,BUMBLEBEE HUMMINGBIRD,"X, (t)"
4360,CAHU,CALLIOPE HUMMINGBIRD,"X, (t)"
4361,JAMA,JAMAICAN MANGO,"X, (t)"
4362,GRMA,GREEN MANGO,X
4363,GTCA,GREEN-THROATED CARIB,X
4364,ACHU,ANTILLEAN CRESTED HUMMINGBIRD,X
4366,GREM,GREEN-BREASTED MANGO,"X, (t)"
4370,LUHU,LUCIFER HUMMINGBIRD,"X, (t)"
4371,BAWO,BAHAMA WOODSTAR,"X, (t)"
4380,RUFH,RUFOUS-TAILED HUMMINGBIRD,"X, (t)"
4381,BEHU,BERYLLINE HUMMINGBIRD,"X, (t)"
4390,BUFH,BUFF-BELLIED HUMMINGBIRD,"X, (t)"
