     GEOID YEAR    diet abundance density_high  func.group
136  39009 2007 insects        76 0.0571884718 insectivore
140  39009 2008 insects        41 0.0484513441 insectivore
143  39009 2009 insects        47 0.0452742068 insectivore
147  39011 1997 insects        53 0.0002491367 insectivore
150  39011 2001 insects       118 0.0009965470 insectivore
155  39011 2002 insects       155 0.0004982735 insectivore
158  39011 2003 insects       152 0.0004982735 insectivore
162  39011 2004 insects       187 0.6639494153 insectivore
164  39011 2005 insects       137 0.7396869846 insectivore
168  39011 2006 insects       121 0.9337645060 insectivore
174  39011 2007 insects       109 1.3794701360 insectivore
176  39011 2008 insects        18 2.0832814298 insectivore
182  39011 2009 insects        84 3.0105683806 insectivore
184  39015 1997 insects       147 0.0436720434 insectivore
186  39015 1998 insects        91 0.0904052113 insectivore
189  39015 1999 insects        94 0.1130575328 insectivore
194  39015 2000 insects        75 0.0738751388 insectivore
199  39015 2001 insects        70 0.0569369163 insectivore
203  39015 2002 insects        62 0.0253052962 insectivore
206  39015 2003 insects        83 0.0620387906 insectivore
209  39015 2004 insects        77 0.1669333246 insectivore
211  39015 2005 insects        66 0.2304006400 insectivore
215  39015 2006 insects        57 0.3154999020 insectivore
221  39015 2007 insects        65 0.6850796709 insectivore
225  39015 2008 insects        43 0.5175341213 insectivore
226  39015 2009 insects        58 1.6074985307 insectivore
231  39017 1997 insects       253 0.0017128567 insectivore
233  39017 1998 insects       141 0.0012846425 insectivore
238  39017 1999 insects        44 0.0036398205 insectivore
241  39017 2000 insects        64 0.0019269638 insectivore
245  39017 2001 insects        71 0.0059949985 insectivore
252  39017 2003 insects       119 0.0029974992 insectivore
254  39017 2004 insects        37 0.2145353020 insectivore
259  39017 2005 insects        77 0.5438320030 insectivore
260  39017 2006 insects        72 0.2742711795 insectivore
266  39017 2008 insects        24 0.6847144668 insectivore
268  39017 2009 insects       105 0.5802302079 insectivore
271  39019 1998 insects        31 0.0020273232 insectivore
273  39019 1999 insects        46 0.0038012311 insectivore
276  39019 2003 insects        76 0.0045614773 insectivore
279  39019 2004 insects        63 0.0962978543 insectivore
281  39019 2005 insects        62 0.1125164403 insectivore
284  39019 2006 insects        61 0.1933559549 insectivore
287  39019 2007 insects        48 0.1135301019 insectivore
291  39019 2008 insects        54 0.2105882025 insectivore
292  39019 2009 insects        49 0.2022254941 insectivore
296  39021 1997 insects        55 0.0020995220 insectivore
301  39021 1998 insects       107 0.0004665604 insectivore
304  39021 1999 insects       123 0.0004665604 insectivore
309  39021 2000 insects        78 0.0004665604 insectivore
314  39021 2001 insects       127 0.0051321649 insectivore
318  39021 2002 insects       123 0.0053654451 insectivore
320  39021 2003 insects       120 0.0030326429 insectivore
323  39021 2004 insects        65 0.7397315878 insectivore
328  39021 2006 insects        66 0.9573820360 insectivore
330  39021 2007 insects       113 1.5559790888 insectivore
336  39021 2008 insects        57 2.2425227856 insectivore
339  39021 2009 insects       119 2.8663141025 insectivore
342  39023 1997 insects        34 0.0020127153 insectivore
345  39023 1998 insects        49 0.0005031788 insectivore
349  39023 1999 insects        42 0.1192533832 insectivore
353  39023 2000 insects        48 0.0005031788 insectivore
358  39023 2001 insects        46 0.0724577518 insectivore
361  39023 2002 insects        32 0.0035222518 insectivore
367  39023 2003 insects        49 0.0032706624 insectivore
368  39023 2004 insects        39 0.6038145987 insectivore
374  39023 2005 insects        34 0.7092305641 insectivore
376  39023 2006 insects        26 0.8249616955 insectivore
383  39023 2007 insects        24 1.5017372249 insectivore
385  39023 2008 insects        38 1.9515791010 insectivore
391  39023 2009 insects        36 2.4014209770 insectivore
394  39027 1997 insects       126 0.0031809418 insectivore
399  39027 1998 insects       179 0.0022021904 insectivore
401  39027 1999 insects       169 0.0073406348 insectivore
404  39027 2000 insects       159 0.0007340635 insectivore
411  39027 2001 insects       211 0.0097875131 insectivore
415  39027 2002 insects       137 0.0088087618 insectivore
419  39027 2003 insects       188 0.0053831322 insectivore
420  39027 2004 insects       200 0.5666970080 insectivore
426  39027 2005 insects       184 1.4018165624 insectivore
431  39027 2006 insects       144 0.7323506670 insectivore
432  39027 2007 insects       107 2.1371034834 insectivore
436  39027 2008 insects        48 2.0810699709 insectivore
440  39027 2009 insects        80 1.5525442640 insectivore
444  39031 1997 insects        57 0.0047879726 insectivore
448  39031 1998 insects        59 0.0028373171 insectivore
449  39031 1999 insects        43 0.0046106403 insectivore
451  39031 2000 insects        44 0.0028373171 insectivore
453  39031 2001 insects        44 0.0083346190 insectivore
457  39031 2002 insects        30 0.0106399391 insectivore
460  39031 2003 insects        25 0.0056746342 insectivore
462  39031 2004 insects         1 0.1333539039 insectivore
463  39031 2005 insects        10 0.1556977761 insectivore
468  39031 2009 insects        15 0.3204395004 insectivore
470  39037 1997 insects       136 0.0021735496 insectivore
475  39037 1998 insects       141 0.0003343922 insectivore
481  39037 1999 insects       109 0.0794181575 insectivore
482  39037 2000 insects         5 0.0003343922 insectivore
485  39037 2001 insects        38 0.0483196790 insectivore
489  39037 2002 insects        48 0.0020063535 insectivore
496  39037 2003 insects        86 0.0020063535 insectivore
499  39037 2004 insects       171 0.8868082260 insectivore
501  39037 2005 insects       114 0.9814412306 insectivore
506  39037 2006 insects       139 1.1034943989 insectivore
511  39037 2007 insects       116 1.8794515967 insectivore
513  39037 2008 insects       193 2.5450593546 insectivore
519  39037 2009 insects       194 3.2613275372 insectivore
521  39049 1997 insects        73 0.0003758070 insectivore
526  39049 1998 insects        28 0.0001879035 insectivore
528  39049 1999 insects        51 0.0022548423 insectivore
531  39049 2000 insects        41 0.0007516141 insectivore
536  39049 2001 insects        72 0.0018790352 insectivore
538  39049 2002 insects        19 0.0195419664 insectivore
543  39049 2003 insects        47 0.0035701669 insectivore
546  39049 2004 insects        39 0.1072929115 insectivore
548  39049 2005 insects        59 0.1741865656 insectivore
551  39049 2006 insects        37 0.1458131337 insectivore
553  39049 2007 insects        46 0.1926011109 insectivore
555  39049 2008 insects        71 0.4075627410 insectivore
558  39049 2009 insects        13 0.4272926109 insectivore
563  39055 1997 insects       170 0.0059975410 insectivore
568  39055 1998 insects       156 0.0099959017 insectivore
571  39055 1999 insects        92 0.0069971312 insectivore
576  39055 2000 insects       108 0.0149938525 insectivore
578  39055 2001 insects       139 0.0162433402 insectivore
584  39055 2002 insects        99 0.0142441599 insectivore
588  39055 2003 insects       130 0.0079967213 insectivore
589  39055 2004 insects       136 0.0822162913 insectivore
594  39055 2005 insects       139 0.0652232585 insectivore
598  39055 2006 insects        72 0.0724702872 insectivore
600  39055 2007 insects        84 0.0707210044 insectivore
605  39055 2008 insects        60 0.0887136274 insectivore
610  39055 2009 insects        61 0.1519377055 insectivore
611  39057 1998 insects        39 0.0033838575 insectivore
616  39057 1999 insects       144 0.0096681644 insectivore
619  39057 2000 insects       160 0.0024170411 insectivore
622  39057 2001 insects       113 0.0135354302 insectivore
628  39057 2002 insects       127 0.0149856549 insectivore
631  39057 2003 insects       108 0.0062843069 insectivore
634  39057 2004 insects       125 0.4669723418 insectivore
638  39057 2005 insects       121 1.1468860051 insectivore
644  39057 2006 insects       140 0.5974925616 insectivore
646  39057 2007 insects       125 1.5406220014 insectivore
650  39057 2008 insects       140 1.5278116835 insectivore
657  39057 2009 insects       126 1.1737151614 insectivore
659  39059 1997 insects       125 0.0126375289 insectivore
662  39059 1998 insects        62 0.0022977325 insectivore
664  39059 1999 insects       154 0.0067017199 insectivore
667  39059 2000 insects        62 0.0061272867 insectivore
669  39059 2001 insects        55 0.0026806879 insectivore
671  39059 2002 insects        54 0.0040210319 insectivore
674  39059 2003 insects        55 0.0017232994 insectivore
675  39059 2004 insects         4 0.0490182938 insectivore
678  39059 2005 insects        30 0.0982280653 insectivore
679  39059 2006 insects        73 0.0896115683 insectivore
682  39059 2007 insects        92 0.0817609822 insectivore
683  39059 2008 insects        82 0.0428910071 insectivore
686  39059 2009 insects        75 0.0541881920 insectivore
689  39065 1997 insects       286 0.0021258277 insectivore
692  39065 1998 insects       227 0.0004251655 insectivore
697  39065 1999 insects       255 0.1009768178 insectivore
701  39065 2000 insects       372 0.0004251655 insectivore
705  39065 2001 insects       147 0.0605860907 insectivore
713  39065 2002 insects       189 0.0040390727 insectivore
715  39065 2003 insects       272 0.0025509933 insectivore
720  39065 2004 insects       188 0.6505032897 insectivore
723  39065 2005 insects       131 0.7806039477 insectivore
728  39065 2006 insects       126 0.9963754637 insectivore
730  39065 2007 insects       203 1.6645231237 insectivore
734  39065 2008 insects        44 2.2654946270 insectivore
739  39065 2009 insects       111 3.2359349922 insectivore
741  39069 1997 insects        72 0.0387009928 insectivore
745  39069 1998 insects        52 0.0081728805 insectivore
749  39069 1999 insects        62 0.0560082690 insectivore
755  39069 2000 insects        71 0.0293262181 insectivore
756  39069 2001 insects        43 0.0425470542 insectivore
761  39069 2002 insects        39 0.0778827432 insectivore
764  39069 2003 insects        26 0.1430254080 insectivore
767  39069 2004 insects        12 0.5850820894 insectivore
771  39069 2005 insects        27 0.7634431865 insectivore
774  39069 2006 insects        41 1.5677507752 insectivore
776  39069 2007 insects        63 1.6689502656 insectivore
780  39069 2008 insects        75 1.9999519242 insectivore
784  39069 2009 insects        44 3.4270810798 insectivore
786  39075 1997 insects         1 0.0085200446 insectivore
789  39075 2000 insects        41 0.0082833767 insectivore
792  39075 2001 insects        45 0.0179867608 insectivore
794  39075 2003 insects         7 0.0156200817 insectivore
796  39075 2005 insects        15 0.2854214937 insectivore
799  39075 2008 insects         1 0.4690757882 insectivore
801  39075 2009 insects         1 0.4404389716 insectivore
804  39077 1997 insects        25 0.0004069217 insectivore
805  39077 1999 insects        13 0.0002034609 insectivore
809  39077 2000 insects        13 0.0004069217 insectivore
812  39077 2001 insects        42 0.0095626609 insectivore
815  39077 2002 insects        16 0.0223806956 insectivore
817  39077 2003 insects        23 0.0030519130 insectivore
821  39077 2005 insects        11 0.7367318081 insectivore
824  39077 2007 insects        20 0.5023448865 insectivore
826  39077 2009 insects        20 2.4264743283 insectivore
829  39079 1997 insects        23 0.0054722296 insectivore
832  39079 1998 insects        37 0.0061859987 insectivore
835  39079 2002 insects        15 0.0061859987 insectivore
836  39079 2003 insects        16 0.0054722296 insectivore
838  39079 2004 insects        14 0.0247439948 insectivore
841  39079 2005 insects        12 0.0256956869 insectivore
842  39079 2006 insects         5 0.0264094560 insectivore
844  39079 2007 insects         7 0.0428261449 insectivore
847  39079 2008 insects         4 0.0611462180 insectivore
848  39079 2009 insects        10 0.1682115802 insectivore
852  39081 1997 insects        63 0.0017143039 insectivore
857  39081 1998 insects       124 0.0012245028 insectivore
858  39081 1999 insects        44 0.0024490056 insectivore
860  39081 2000 insects        83 0.0012245028 insectivore
865  39081 2001 insects       153 0.0019592045 insectivore
868  39081 2002 insects        48 0.0036735084 insectivore
870  39081 2003 insects        40 0.0022041050 insectivore
873  39081 2004 insects        74 0.0198369452 insectivore
874  39081 2006 insects        59 0.0426126971 insectivore
878  39081 2007 insects        48 0.0198369452 insectivore
882  39083 1996 insects        12 0.0104663421 insectivore
886  39083 1997 insects        48 0.0062798053 insectivore
890  39083 1998 insects        45 0.0030447541 insectivore
892  39083 1999 insects        32 0.0190297130 insectivore
897  39083 2000 insects        75 0.0017126742 insectivore
901  39083 2001 insects        65 0.0146528790 insectivore
905  39083 2002 insects        43 0.0247386269 insectivore
911  39083 2003 insects        83 0.0095148565 insectivore
916  39083 2004 insects        42 0.3556653359 insectivore
917  39083 2005 insects        40 0.4494818209 insectivore
922  39083 2006 insects        54 0.4671794540 insectivore
926  39083 2007 insects        21 0.5001008575 insectivore
930  39083 2008 insects        67 1.1214209867 insectivore
934  39083 2009 insects        55 1.0513916429 insectivore
937  39087 1997 insects        52 0.0063965273 insectivore
940  39087 1998 insects        49 0.0121313450 insectivore
943  39087 1999 insects        56 0.0172044529 insectivore
945  39087 2000 insects        44 0.0158810334 insectivore
947  39087 2001 insects        46 0.0121313450 insectivore
949  39087 2002 insects        23 0.0059553875 insectivore
954  39087 2003 insects        31 0.0088227963 insectivore
957  39087 2004 insects        35 0.0147781839 insectivore
960  39087 2005 insects        30 0.0176455927 insectivore
961  39087 2006 insects        34 0.0172044529 insectivore
965  39087 2007 insects        29 0.0125724848 insectivore
969  39087 2008 insects        60 0.0185278723 insectivore
972  39087 2009 insects        97 0.0562453267 insectivore
975  39089 1997 insects        35 0.0118681319 insectivore
977  39089 1998 insects        53 0.0057142857 insectivore
978  39089 1999 insects        22 0.0482051282 insectivore
981  39089 2000 insects        26 0.0104029304 insectivore
985  39089 2001 insects        43 0.0379487179 insectivore
986  39089 2002 insects        23 0.1345054945 insectivore
990  39089 2003 insects        48 0.0405860806 insectivore
992  39089 2004 insects        43 0.3364102564 insectivore
997  39089 2005 insects        28 0.3832967033 insectivore
999  39089 2006 insects        30 0.4225641026 insectivore
1001 39089 2007 insects        27 0.4931868132 insectivore
1004 39089 2008 insects        41 1.0240293040 insectivore
1006 39089 2009 insects        23 0.9736263736 insectivore
1011 39093 1997 insects       401 0.0042761061 insectivore
1013 39093 1998 insects       323 0.0012217446 insectivore
1016 39093 1999 insects       333 0.0052942266 insectivore
1020 39093 2000 insects       207 0.0179189210 insectivore
1027 39093 2001 insects       379 0.0154754317 insectivore
1029 39093 2002 insects       353 0.0562002521 insectivore
1036 39093 2003 insects       368 0.0150681835 insectivore
1038 39093 2004 insects       293 0.1439622399 insectivore
1045 39093 2005 insects       257 0.3858676728 insectivore
1047 39093 2006 insects       279 0.3156173577 insectivore
1052 39093 2007 insects       240 0.2771324025 insectivore
1054 39093 2008 insects       198 0.7251054264 insectivore
1061 39093 2009 insects       185 1.1973097184 insectivore
1063 39097 1997 insects        85 0.0002146499 insectivore
1068 39097 1999 insects        42 0.0006439496 insectivore
1071 39097 2001 insects        61 0.0006439496 insectivore
1072 39097 2002 insects        35 0.0055808962 insectivore
1075 39097 2003 insects        62 0.0004292997 insectivore
1076 39097 2004 insects        38 0.7426884894 insectivore
1081 39097 2005 insects        53 0.8746981486 insectivore
1083 39097 2006 insects        38 0.9330829085 insectivore
1086 39097 2007 insects        43 1.0530721760 insectivore
1090 39097 2008 insects        29 2.4098738932 insectivore
1093 39097 2009 insects        19 2.3854038100 insectivore
1095 39099 1997 insects        55 0.0060735187 insectivore
1098 39099 1998 insects        44 0.0046158742 insectivore
1102 39099 1999 insects        36 0.0036441112 insectivore
1104 39099 2000 insects        30 0.0126329190 insectivore
1107 39099 2001 insects        56 0.0174917339 insectivore
1109 39099 2003 insects        35 0.0072882225 insectivore
1111 39099 2004 insects        31 0.1681149984 insectivore
1114 39099 2005 insects        15 0.1462503310 insectivore
1118 39099 2006 insects        29 0.2261778375 insectivore
1120 39099 2007 insects        20 0.1671432354 insectivore
1123 39101 1997 insects        56 0.0012383686 insectivore
1130 39101 1998 insects        66 0.0004953474 insectivore
1134 39101 1999 insects        48 0.0037151059 insectivore
1139 39101 2000 insects        39 0.0002476737 insectivore
1141 39101 2001 insects        27 0.0029720847 insectivore
1144 39101 2002 insects        41 0.0044581270 insectivore
1147 39101 2003 insects       112 0.0017337161 insectivore
1152 39101 2004 insects        44 0.4884125848 insectivore
1154 39101 2005 insects       101 0.6823411111 insectivore
1160 39101 2006 insects        59 0.7675408724 insectivore
1163 39101 2007 insects        68 0.9520577971 insectivore
1164 39101 2008 insects        28 2.0826883497 insectivore
1171 39101 2009 insects        26 2.0599023670 insectivore
1175 39103 1997 insects        70 0.0087811315 insectivore
1177 39103 1998 insects        38 0.0147143284 insectivore
1181 39103 1999 insects        52 0.0097304430 insectivore
1183 39103 2000 insects        51 0.0208848533 insectivore
1184 39103 2001 insects        29 0.0272927060 insectivore
1186 39103 2003 insects        50 0.0140023448 insectivore
1188 39103 2004 insects        29 0.1760972854 insectivore
1191 39103 2005 insects        27 0.1559244158 insectivore
1193 39103 2006 insects        23 0.2373278780 insectivore
1196 39103 2007 insects        19 0.2679431742 insectivore
1199 39109 2000 insects        45 0.0017216784 insectivore
1203 39109 2001 insects        45 0.0366471543 insectivore
1205 39109 2002 insects        33 0.0031974027 insectivore
1209 39109 2003 insects        18 0.0014757243 insectivore
1212 39109 2007 insects        25 1.5780412219 insectivore
1217 39109 2009 insects        27 2.6936888189 insectivore
1218 39113 1997 insects       186 0.0023832583 insectivore
1225 39113 1998 insects       177 0.0017332787 insectivore
1228 39113 1999 insects       157 0.0049831764 insectivore
1230 39113 2000 insects        73 0.0019499386 insectivore
1234 39113 2001 insects       169 0.0067164551 insectivore
1241 39113 2003 insects       158 0.0030332378 insectivore
1243 39113 2004 insects       292 0.2472088796 insectivore
1246 39113 2005 insects       193 0.6482462469 insectivore
1250 39113 2006 insects       118 0.3401559518 insectivore
1254 39113 2007 insects       117 0.9052048194 insectivore
1258 39113 2008 insects        67 0.8324071125 insectivore
1263 39113 2009 insects       134 0.7108609412 insectivore
1269 39117 1997 insects       138 0.0009850300 insectivore
1273 39117 1998 insects        96 0.0004925150 insectivore
1276 39117 1999 insects        76 0.0036938625 insectivore
1280 39117 2000 insects        71 0.0007387725 insectivore
1283 39117 2001 insects        63 0.0027088325 insectivore
1291 39117 2002 insects       124 0.0152679651 insectivore
1294 39117 2003 insects       139 0.0036938625 insectivore
1299 39117 2004 insects       128 0.3627372999 insectivore
1304 39117 2005 insects        93 0.5060591658 insectivore
1308 39117 2006 insects        51 0.5348712935 insectivore
1310 39117 2007 insects       108 0.6240165091 insectivore
1315 39117 2008 insects        74 1.3711617690 insectivore
1318 39117 2009 insects        71 1.3613114690 insectivore
1324 39119 1997 insects       225 0.0203136121 insectivore
1326 39119 1998 insects       194 0.0093292144 insectivore
1332 39119 1999 insects       180 0.0141442929 insectivore
1338 39119 2000 insects       152 0.0161004185 insectivore
1340 39119 2001 insects       156 0.0076740312 insectivore
1343 39119 2002 insects        65 0.0129405232 insectivore
1348 39119 2003 insects       112 0.0052664920 insectivore
1349 39119 2004 insects        96 0.1387344469 insectivore
1353 39119 2005 insects       121 0.3140333956 insectivore
1357 39119 2006 insects        99 0.2949235531 insectivore
1359 39119 2007 insects        80 0.2488793657 insectivore
1363 39119 2008 insects        54 0.1423457557 insectivore
1365 39119 2009 insects        63 0.1951611471 insectivore
1372 39131 1997 insects       103 0.0015898901 insectivore
1373 39131 1998 insects       110 0.0029526531 insectivore
1378 39131 1999 insects       122 0.0047696703 insectivore
1384 39131 2000 insects       111 0.0056781790 insectivore
1385 39131 2001 insects        90 0.0045425432 insectivore
1389 39131 2003 insects       102 0.0034069074 insectivore
1394 39131 2004 insects        67 0.0488323393 insectivore
1398 39131 2005 insects        89 0.0633684775 insectivore
1402 39131 2006 insects        45 0.0558732812 insectivore
1405 39131 2007 insects       102 0.0853998119 insectivore
1409 39131 2008 insects        73 0.1153805970 insectivore
1413 39131 2009 insects        50 0.4072389968 insectivore
1417 39133 1997 insects        67 0.0361113790 insectivore
1422 39133 1998 insects       120 0.0966389744 insectivore
1424 39133 1999 insects        98 0.0519101073 insectivore
1428 39133 2000 insects        72 0.0453444020 insectivore
1430 39133 2001 insects        51 0.0336492395 insectivore
1434 39133 2006 insects        34 0.1789154686 insectivore
1435 39133 2007 insects        71 0.1787102903 insectivore
1437 39133 2008 insects        61 0.2739130167 insectivore
1440 39133 2009 insects        42 0.4598045472 insectivore
1442 39137 1997 insects        87 0.0006217333 insectivore
1445 39137 1998 insects        43 0.0002072444 insectivore
1451 39137 1999 insects        49 0.0041448887 insectivore
1455 39137 2000 insects        35 0.0012434666 insectivore
1457 39137 2001 insects        43 0.0031086665 insectivore
1459 39137 2002 insects       119 0.0014507111 insectivore
1464 39137 2003 insects        55 0.0035231554 insectivore
1465 39137 2004 insects        31 0.4238148727 insectivore
1471 39137 2005 insects        76 0.6826631739 insectivore
1473 39137 2006 insects        70 1.5041801203 insectivore
1477 39137 2007 insects        77 1.6996116239 insectivore
1480 39137 2008 insects        62 1.9766974356 insectivore
1481 39137 2009 insects        46 3.2214075213 insectivore
1485 39141 1997 insects        21 0.0014509829 insectivore
1487 39141 1998 insects        63 0.0007254914 insectivore
1489 39141 1999 insects        60 0.0039176538 insectivore
1491 39141 2000 insects        77 0.0014509829 insectivore
1495 39141 2001 insects        36 0.0033372607 insectivore
1498 39141 2002 insects        32 0.0047882436 insectivore
1500 39141 2003 insects        55 0.0015960812 insectivore
1502 39141 2004 insects       126 0.2616122161 insectivore
1507 39141 2005 insects        86 0.3039809167 insectivore
1508 39141 2006 insects        79 0.3437378480 insectivore
1511 39141 2007 insects        60 0.3541849249 insectivore
1517 39141 2008 insects        87 0.8475191094 insectivore
1520 39141 2009 insects        61 0.8850995664 insectivore
1522 39143 1996 insects        49 0.0692858175 insectivore
1525 39143 1997 insects       159 0.0041620456 insectivore
1528 39143 1998 insects        78 0.0009793048 insectivore
1530 39143 1999 insects       121 0.0061206553 insectivore
1532 39143 2000 insects       156 0.0474962848 insectivore
1538 39143 2001 insects       148 0.0399066722 insectivore
1541 39143 2002 insects       199 0.0981753103 insectivore
1544 39143 2003 insects       203 0.0173826609 insectivore
1550 39143 2004 insects       162 0.4605181012 insectivore
1555 39143 2005 insects       128 1.0130908575 insectivore
1556 39143 2006 insects       173 0.6789030806 insectivore
1560 39143 2007 insects       176 0.6429136278 insectivore
1565 39143 2008 insects       201 1.6080185480 insectivore
1570 39143 2009 insects       132 2.8625080487 insectivore
1573 39145 1997 insects        30 0.0075383514 insectivore
1578 39145 1998 insects        39 0.0136018079 insectivore
1581 39145 1999 insects        37 0.0281868790 insectivore
1583 39145 2000 insects        41 0.0350697216 insectivore
1587 39145 2001 insects        25 0.0293340194 insectivore
1591 39145 2002 insects        40 0.0178626152 insectivore
1593 39145 2003 insects        28 0.0211401593 insectivore
1597 39145 2004 insects        34 0.0435913361 insectivore
1599 39145 2005 insects       201 0.0506380559 insectivore
1601 39145 2006 insects        17 0.0606345653 insectivore
1605 39145 2007 insects        20 0.1147140425 insectivore
1606 39145 2008 insects        30 0.1211052534 insectivore
1609 39145 2009 insects        25 0.3313597055 insectivore
1613 39147 1999 insects       212 0.0009074130 insectivore
1615 39147 2000 insects       133 0.0245001515 insectivore
1618 39147 2001 insects       179 0.0047185477 insectivore
1625 39147 2002 insects        98 0.0101630258 insectivore
1628 39147 2003 insects       158 0.0018148260 insectivore
1633 39147 2004 insects       235 0.3533466300 insectivore
1634 39147 2005 insects       111 0.8170346831 insectivore
1640 39147 2006 insects        99 0.6380928356 insectivore
1643 39147 2007 insects        78 0.5384588860 insectivore
1649 39147 2008 insects       135 1.4487756276 insectivore
1652 39147 2009 insects       215 2.5725159115 insectivore
1655 39155 1997 insects       820 0.0054989754 insectivore
1659 39155 1998 insects       557 0.0122918274 insectivore
1666 39155 1999 insects       610 0.0077632594 insectivore
1669 39155 2000 insects       531 0.0097040743 insectivore
1671 39155 2001 insects       425 0.0071163211 insectivore
1676 39155 2002 insects       464 0.0069545865 insectivore
1681 39155 2003 insects       429 0.0030729568 insectivore
1683 39155 2004 insects       472 0.1229182739 insectivore
1689 39155 2005 insects       482 0.1005989031 insectivore
1695 39155 2006 insects       377 0.1963457691 insectivore
1698 39155 2007 insects       333 0.2128426953 insectivore
1702 39155 2008 insects       266 0.3084278268 insectivore
1706 39155 2009 insects       377 0.5165802195 insectivore
1708 39157 1997 insects        36 0.0042280616 insectivore
1711 39157 1999 insects        51 0.0047565694 insectivore
1713 39157 2001 insects        66 0.0040518924 insectivore
1715 39157 2002 insects        52 0.0054612463 insectivore
1719 39157 2004 insects        35 0.1268418494 insectivore
1721 39157 2006 insects        54 0.2727099761 insectivore
1725 39157 2007 insects        32 0.1435779267 insectivore
1727 39157 2009 insects        40 0.2734146531 insectivore
1730 39159 1997 insects       134 0.0009265050 insectivore
1736 39159 1998 insects       110 0.0004632525 insectivore
1741 39159 1999 insects       147 0.0039376462 insectivore
1746 39159 2000 insects       107 0.0004632525 insectivore
1749 39159 2001 insects        84 0.0037060200 insectivore
1754 39159 2002 insects         6 0.0097283024 insectivore
1757 39159 2003 insects       233 0.0025478887 insectivore
1761 39159 2004 insects        44 0.4470386584 insectivore
1763 39159 2005 insects       118 0.5711903273 insectivore
1767 39159 2006 insects       422 0.6738007551 insectivore
1774 39159 2007 insects      1131 0.8428879161 insectivore
1777 39159 2008 insects       135 1.7483149190 insectivore
1779 39159 2009 insects       120 1.7962615524 insectivore
1782 39163 1997 insects        54 0.0014550393 insectivore
1783 39163 1998 insects        23 0.0033950917 insectivore
1786 39163 1999 insects        33 0.0026675720 insectivore
1788 39163 2000 insects        21 0.0048501310 insectivore
1789 39163 2001 insects        35 0.0026675720 insectivore
1791 39163 2002 insects        65 0.0019400524 insectivore
1794 39163 2003 insects        30 0.0029100786 insectivore
1795 39163 2004 insects        26 0.0674168203 insectivore
1797 39163 2005 insects        16 0.0363759822 insectivore
1799 39163 2006 insects        19 0.0341934232 insectivore
1802 39163 2007 insects        18 0.0249781744 insectivore
1803 39163 2008 insects        32 0.0123678339 insectivore
1806 39163 2009 insects        14 0.0225531089 insectivore
1810 39165 1997 insects        95 0.0079738060 insectivore
1814 39165 1998 insects        87 0.0054819917 insectivore
1815 39165 1999 insects        82 0.0154492492 insectivore
1821 39165 2000 insects        62 0.0042360845 insectivore
1823 39165 2001 insects        69 0.0209312409 insectivore
1827 39165 2002 insects        64 0.0363804901 insectivore
1829 39165 2003 insects        65 0.0092197132 insectivore
