"Acibenzolar-S-methyl",P1: benzo-thiadiazole BTH,P,benzo-thiadiazole BTH
Flutriafol,G1: DMI (SBI class 1),3,triazole
Folpet,Multi-site: phthalimide,M4,phthalimide
Fosetyl-Al,Unknown: phosphonate,33,ethyl phosphonate
Fthalide,I1: MBI-R,16.1,isobenzofuranone
Fuberidazole,B1: MBC,1,benzimidazole
Furalaxyl,A1: Phenylamide,4,acylalanine
Furametpyr,C2: SDHI,7,pyrazole-carboxamide
Guazatine,Multi-site: guanidine,M7,guanidine
Hexaconazole,G1: DMI (SBI class 1),3,triazole
Hymexazole,A3: heteroaromatics,32,isoxazoles
Imazalil,G1: DMI (SBI class 1),3,imidazole
Imibenconazole,G1: DMI (SBI class 1),3,triazole
Iminoctadine,Multi-site: guanidine,M7,guanidine
Iodocarb,F4: carbamates,28,carbamates
Ipconazole,G1: DMI (SBI class 1),3,triazole
Iprobenfos,F2: phosphorothiolates,6,phosphorothiolates
Iprodione,E3: dicarboximide,2,dicarboximide
Iprovalicarb,F5: CAA fungicides,40,valinamide carbamates
Isoprothiolane,F2: phosphorothiolates,6,dithiolane
Isopyrazam,C2: SDHI,7,Pyrazole-carboxamide
Isotianil,P3: thiadiazole carboxamide,P,thiadiazole carboxamide
Kasugamycin,D3: hexopyranosyl antibiotic,24,hexopyranosyl antibiotic
Kresoxim-methyl,C3: QoI,11,oximino-acetate
Laminarin,P4 (proposed): natural,P,
Mancozeb,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Mandipropamid,F5: CAA fungicides,40,mandelic acid amide
Maneb,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Mepanypyrim,D1: AP fungicides,9,anilino-pyrimidine
Mepronil,C2: SDHI,7,phenyl-benzamide
Meptyldinocap,C5,29,dinitrophenyl crotonate
Metalaxyl,A1: Phenylamide,4,acylalanine
"Metalaxyl-M  (= Mefenoxam)",A1: Phenylamide,4,acylalanine
Metominostrobin,C3: QoI,11,oximino-acetamide
Metconazole,G1: DMI (SBI class 1),3,triazole
Methasulfocarb,Unknown: thiocarbamate,42,thiocarbamate
Metiram,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Metrafenone,Unknown: benzophenone,U8,benzophenone
Myclobutanil,G1: DMI (SBI class 1),3,triazole
Naftifine,G4: SBI Class IV,18,allylamine: medical only
Nuarimol,G1: DMI (SBI class 1),3,pyrimidine
Octhilinone,A3: heteroaromatics,32,isothiazolones
Ofurace,A1: Phenylamide,4,butyrolactone
Orysastrobin,C3: QoI,11,oximino-acetamide
Oxadixyl,A1: Phenylamide,4,oxazolidinone
Oxolinic acid,A4: carboxylic acids,31,carboxylic acids
Oxpoconazole,G1: DMI (SBI class 1),3,imidazole
Oxycarboxin,C2: SDHI,7,oxathiin-carboxamide
Oxytetracycline,D5: tetracycline antibiotic,41,tetracycline antibiotic
Pefurazate,G1: DMI (SBI class 1),3,imidazole
Penconazole,G1: DMI (SBI class 1),3,triazole
Pencycuron,B4: phenylurea (proposed),20,phenylurea
Penflufen,C2: SDHI,7,pyrazole-carboxamide
Penthiopyrad,C2: SDHI,7,pyrazole-carboxamide
"Phosphorous acid and salts",Unknown: phosphonate,33,
Picoxystrobin,C3: QoI,11,methoxy-acrylates
Piperalin,"G2: Amines (morpholines) SBI Class II",5,piperidine
Polyoxin,H4: Polyoxins,19,polyoxins
Probenazole,P2: benzisothiazole,P,benzisothiazole
Prochloraz,G1: DMI (SBI class 1),3,imidazole
Procymidone,E3: dicarboximide,2,dicarboximide
Propamocarb,F4: carbamates,28,carbamates
Propiconazole,G1: DMI (SBI class 1),3,triazole
Propineb,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Proquinazid,E1: Azanapthalenes,13,quinazolinone
Prothiocarb,F4: carbamates,28,carbamates
Prothioconazole,G1: DMI (SBI class 1),3,triazole
Pyraclostrobin,C3: QoI,11,methoxy-carbamate
Pyrametostrobin,C3: QoI,11,methoxy-carbamate
Pyraoxystrobin,C3: QoI,11,methoxy-acrylate
Pyrazophos,F2: phosphorothiolates,6,phosphorothiolates
Pyribencarb,C3: QoI,11,benzyl-carbamate
Pyributicarb,G4: SBI Class IV,18,thiocarbamate
Pyrifenox,G1: DMI (SBI class 1),3,pyridine
Pyrimethanil,D1: AP fungicides,9,anilino-pyrimidine
Pyroquilon,I1: MBI-R,16.1,pyrrolo-quinolone
Quinoxyfen,E1: Azanapthalenes,13,aryloxyquinoline
"Quintozene (PCNB)",F3: AH fungicides,14,aromatic hydrocarbons
Sedaxane,C2: SDHI,7,Pyrazole-carboxamide
Silthiofam,C7: thiophene carboxamide,38,thiophene carboxamide
Simeconazole,G1: DMI (SBI class 1),3,triazole
Spiroxamine,"G2: Amines (morpholines) SBI Class II",5,spiroketal-amine
Streptomycin,"D4: glucopyranosyl antibiotic",25,glucopyranosyl antibiotic
Sulphur,Multi-site,M2,inorganic
Tebuconazole,G1: DMI (SBI class 1),3,triazole
Teclofthalam,Unknown: phthalamic acid,34,phthalamic acid (bactericide)
"Tecnazene (TCNB)",F3: AH fungicides,14,aromatic hydrocarbons
Terbinafine,G4: SBI Class IV,18,allylamine: medical only
Tetraconazole,G1: DMI (SBI class 1),3,triazole
Thiabendazole,B1: MBC,1,benzimidazole
Thifluzamide,C2: SDHI,7,thiazole-carboxamide
Thiophanate,B1: MBC,1,thiophanate
"Thiophanate-methyl",B1: MBC,1,thiophanate
Thiram,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Tiadinil,P3: thiadiazole carboxamide,P,thiadiazole carboxamide
Tolclofos-methyl,F3: AH fungicides,14,aromatic hydrocarbons
Tolylfluanid,Multi-site: sulfamide,M6,sulfamide
Triadimefon,G1: DMI (SBI class 1),3,triazole
Triadimenol,G1: DMI (SBI class 1),3,triazole
Triazoxide,Unknown: benzotriazine,35,benzotriazine
Triclopyricarb,C3: QoI,11,methoxy-carbamate
Tricyclazole,I1: MBI-R,16.1,triazolobenzothiazole
Tridemorph,"G2: Amines (morpholines) SBI Class II",5,morpholine
Trifloxystrobin,C3: QoI,11,oximino-acetate
Triflumizole,G1: DMI (SBI class 1),3,imidazole
Triforine,G1: DMI (SBI class 1),3,piperazine
Triticonazole,G1: DMI (SBI class 1),3,triazole
Validamycin,"H3: glucopyranosyl antibiotic",26,glucopyranosyl antibiotic
Valifenalate,F5: CAA fungicides,40,valinamide carbamates
Vinclozolin,E3: dicarboximide,2,dicarboximide
Zineb,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Ziram,"Multi-site: dithiocarbamates and relatives",M3,dithiocarbamates and relatives
Zoxamide,B3: benzamides,22,toluamide
